3783 11264
73 2856 1
327 341 1
182 1115 1
0 2800 1
173 3521 -1
18 23 1
12 429 -1
392 3567 1
0 1 1
64 2070 1
14 351 1
25 156 1
3132 3692 1
15 1916 1
315 3781 1
377 399 1
194 253 1
98 1350 1
15 533 1
54 687 1
101 369 1
51 1137 1
127 1042 1
57 91 1
7 3530 -1
21 252 1
1147 1759 1
83 1422 1
128 193 1
23 25 1
39 743 1
18 86 1
38 1469 1
737 945 1
148 1968 1
135 1458 1
26 29 1
2335 3427 1
48 335 1
16 482 1
14 2286 1
44 465 1
0 1441 1
71 895 1
711 1675 1
20 347 1
30 318 1
246 335 1
2 690 1
352 1100 1
0 151 1
0 56 1
2389 3298 1
498 2432 1
7 381 -1
20 89 1
153 269 1
20 99 1
374 3423 1
94 123 -1
358 2058 1
3749 3754 1
405 1110 1
97 952 1
250 380 1
618 1659 1
21 1735 1
92 375 1
48 3763 -1
24 123 1
545 733 1
92 890 1
797 1029 1
535 2642 1
0 1792 1
173 261 1
0 3112 1
124 3395 1
134 276 1
27 1266 1
1 29 1
108 1269 1
72 171 1
32 42 1
144 1610 1
1430 1660 1
418 1926 1
707 3664 -1
0 3056 1
148 973 1
574 2038 1
9 613 1
367 381 1
200 613 1
1 113 1
791 3631 -1
40 692 1
107 797 1
37 2312 1
181 608 1
728 1710 1
6 1058 1
2 26 1
23 3726 -1
2 119 1
26 87 1
774 3767 -1
17 193 1
56 1962 1
176 3743 -1
289 1190 1
374 604 1
340 1121 1
10 731 1
7 936 1
259 3568 1
397 719 1
1242 3686 -1
563 747 -1
116 1331 1
14 426 1
548 1378 1
63 1589 1
418 773 1
569 862 1
30 218 1
231 276 1
1 160 1
294 496 1
21 121 1
32 486 1
3 98 1
39 46 1
26 491 1
10 326 1
8 3715 -1
94 2357 1
147 1994 1
435 767 1
39 605 1
83 1082 1
1426 1695 1
302 1459 1
82 123 1
2 2284 1
18 646 1
53 327 1
577 859 1
20 3781 1
2 878 1
42 171 1
112 800 1
550 707 1
87 91 1
705 764 1
122 1375 1
178 3512 -1
128 1413 1
490 1350 1
7 122 1
99 3782 -1
33 204 1
182 1105 1
18 649 1
29 313 -1
10 94 1
24 189 1
51 82 1
128 716 1
115 2386 1
29 3079 1
461 1378 1
416 900 1
42 3713 -1
3 1024 1
41 50 1
586 613 1
512 1977 1
302 621 1
758 1159 1
8 512 1
5 123 1
3 2438 1
540 910 1
280 1073 1
11 1845 1
44 715 1
910 1448 1
554 1057 1
221 2417 1
140 457 1
93 1890 1
86 1155 1
212 217 1
3 780 1
77 1248 1
15 3193 1
104 1914 1
149 3777 -1
432 3719 -1
94 3762 -1
7 394 -1
1 249 1
35 2376 1
4 978 1
2747 3781 1
24 591 1
15 2555 1
25 332 1
14 680 1
28 33 1
211 314 1
5 641 1
412 571 1
707 3782 -1
34 113 1
308 1884 1
1760 2896 1
208 655 1
255 631 1
25 61 1
101 287 1
58 307 1
44 532 1
346 484 1
210 388 1
32 1326 1
549 552 1
50 134 1
74 168 1
311 966 1
1128 2350 1
24 294 1
363 464 1
79 1146 1
94 1369 1
56 322 1
123 2298 1
14 179 1
112 133 1
32 585 1
28 154 1
41 83 1
5 206 1
72 277 1
55 420 1
149 3742 -1
216 475 1
41 78 1
2 453 1
94 344 1
57 81 1
21 1284 1
187 3638 -1
204 875 1
8 2769 1
204 400 1
1 116 1
3781 3782 -1
5 817 1
149 580 1
596 811 1
62 654 1
37 2138 1
24 331 1
0 2965 1
83 1099 1
277 3781 -1
3513 3564 1
49 874 1
0 3025 1
299 2065 1
1 243 1
8 51 1
36 313 1
140 3769 -1
9 2178 1
94 153 1
9 839 1
29 89 1
0 1838 1
53 1429 1
147 1408 1
232 497 1
259 635 1
21 383 1
250 3728 1
48 176 1
3573 3698 1
432 750 1
83 908 1
21 1131 1
278 374 1
176 490 -1
8 38 1
1319 1499 1
8 299 1
101 534 1
193 1714 1
28 172 1
3 312 1
6 665 1
51 738 1
250 1916 1
18 33 1
25 247 1
82 1759 1
113 905 1
5 705 1
240 1352 1
7 1578 -1
116 436 1
10 3489 -1
476 866 1
27 1116 1
1234 2587 1
0 2251 1
41 84 1
1 1089 1
48 157 1
415 897 1
71 283 1
128 907 1
120 2169 1
297 654 1
13 1292 1
30 58 1
280 3564 1
311 3782 -1
196 758 1
14 905 1
12 3515 1
104 361 1
15 1009 1
40 305 1
983 1187 1
25 265 1
44 1672 1
15 405 1
128 1216 1
419 1610 1
14 983 1
235 921 1
137 1829 1
371 891 1
29 3471 1
5 161 1
120 2861 1
380 550 1
0 2782 1
113 375 1
330 1028 1
8 3512 -1
701 706 1
490 519 1
180 181 1
109 389 1
17 259 1
105 940 1
127 291 1
677 2611 1
49 783 1
20 360 1
165 328 1
134 2894 1
15 218 1
9 2956 1
153 230 1
256 379 1
10 197 1
115 171 1
179 373 1
109 140 1
103 800 -1
7 3666 -1
30 104 1
4 67 1
2 1842 1
105 560 1
274 3698 1
176 1023 1
238 570 1
14 3442 1
13 303 1
94 3778 -1
16 1784 1
164 3513 1
6 1359 1
234 248 1
243 1058 1
112 659 1
287 317 1
18 196 1
35 374 1
187 940 1
63 497 1
41 600 1
40 88 1
37 164 1
79 2924 1
10 1067 1
165 551 1
94 372 1
126 2277 1
5 1554 1
3 152 1
3 776 1
639 2830 1
7 876 1
56 159 1
3 64 1
42 1777 1
114 3212 1
297 1209 1
226 277 1
416 1198 1
24 141 1
37 2852 1
477 1248 1
10 680 1
0 454 1
21 188 1
10 173 -1
11 314 1
10 371 1
10 3771 -1
48 397 1
9 36 1
24 695 1
29 455 1
95 3386 1
14 121 1
33 584 1
3 105 1
9 2777 1
144 806 1
129 382 1
6 50 1
9 2907 1
14 697 1
2111 3781 1
243 332 1
58 980 1
85 1203 1
1476 2756 1
77 2082 1
18 3253 1
386 2598 1
14 158 1
2335 2427 1
13 30 1
0 9 1
58 489 1
10 124 -1
90 1083 1
336 905 1
36 37 1
176 1690 -1
167 438 1
23 93 1
550 1350 1
177 1556 1
0 3087 1
83 1416 1
78 2067 1
78 729 1
85 3738 -1
277 1791 1
68 197 1
383 865 1
340 1223 1
821 1579 1
0 378 1
376 3412 1
10 1507 1
57 3612 -1
137 641 1
122 390 1
59 266 1
487 704 1
0 1866 1
4 177 1
39 988 1
281 2582 1
1448 3781 1
46 210 1
357 2014 1
432 889 1
626 3470 1
257 263 1
339 1944 1
176 410 1
67 407 -1
111 696 1
55 186 1
0 2988 1
1073 3444 1
9 55 1
309 706 1
1111 3676 1
23 200 1
124 1031 -1
33 397 1
1 1493 1
46 162 1
177 1811 1
18 96 1
0 2926 1
64 466 1
10 422 1
347 2406 1
367 1242 1
27 326 1
12 3781 -1
2173 3755 1
152 2608 1
951 1798 1
208 256 1
50 344 1
39 1627 1
560 1086 1
31 264 1
103 983 1
34 345 1
634 2881 1
74 1416 1
5 1253 1
81 3342 1
126 1531 1
56 792 1
3 478 1
621 1268 1
4 3710 -1
44 992 1
148 2375 -1
205 3709 -1
244 707 1
96 101 1
95 1894 1
302 402 1
42 3691 -1
113 232 1
21 329 1
10 941 1
21 939 1
729 1017 1
797 1504 1
57 58 1
1 276 1
1628 3591 1
153 373 1
8 682 1
81 124 1
19 371 1
178 3777 -1
0 709 1
5 330 1
32 403 1
549 2909 1
274 1682 1
47 1472 1
85 468 -1
2 55 1
408 2831 1
355 742 1
6 215 1
9 694 1
782 3742 1
405 3742 1
10 638 1
0 3258 1
68 2176 1
381 423 1
67 1167 1
53 448 1
149 3730 1
679 3742 1
939 2725 1
418 989 1
114 279 1
1632 3505 1
3464 3759 -1
95 831 1
1 174 1
3777 3779 1
47 1234 1
23 561 1
1 88 1
7 548 1
65 1719 1
357 1437 1
65 2593 1
6 20 1
58 119 1
136 328 1
396 1195 1
12 24 1
31 104 1
41 3760 -1
376 398 1
95 2411 1
28 109 1
0 329 1
6 1032 1
272 1668 1
9 1761 1
441 1629 1
140 1179 1
33 35 1
32 57 1
44 3742 -1
587 795 1
33 3361 1
31 48 1
65 512 1
57 3688 -1
93 97 1
8 44 1
15 79 -1
74 75 1
7 546 -1
268 800 -1
12 1830 1
15 108 1
18 1183 1
14 2288 1
153 3589 1
87 460 1
10 261 1
7 203 -1
619 2008 1
7 3559 -1
10 1870 1
28 157 1
78 623 1
123 3512 1
131 1702 1
133 198 1
3 772 1
236 269 1
16 187 1
38 1144 1
6 3377 1
40 2978 1
73 624 1
823 1569 1
182 1446 1
128 533 1
145 3781 1
2 492 1
5 523 1
49 1416 1
1399 3730 1
10 149 1
151 235 1
44 198 1
7 18 1
9 178 1
0 2822 1
120 2863 1
13 406 1
76 1439 1
0 1282 1
3 560 1
95 375 1
384 1690 1
64 174 1
31 177 1
201 239 1
32 33 1
92 173 1
259 3782 -1
6 57 1
102 1166 1
136 252 1
0 3497 1
177 1273 1
277 1637 -1
155 176 1
3 116 1
9 14 -1
103 184 -1
11 25 1
56 2891 1
504 3602 1
176 622 1
1 158 1
205 587 -1
3602 3781 -1
153 289 1
94 1873 1
790 3587 -1
8 18 1
103 3352 1
1690 3780 -1
699 1526 1
108 565 1
93 113 1
356 1471 1
2 62 1
155 454 1
9 969 1
22 297 1
25 276 1
3 1701 1
887 1885 1
195 268 1
195 490 1
733 1279 1
9 295 1
69 1766 1
30 173 1
31 69 1
131 254 1
3 507 1
13 2143 1
1 445 1
525 903 1
15 566 1
92 172 1
422 1658 1
371 461 1
100 3782 1
14 2089 1
3506 3576 -1
220 248 1
45 2302 1
12 1334 1
34 1232 1
1 90 1
32 124 1
7 10 1
294 838 1
23 3473 1
305 410 1
2 335 1
6 320 -1
96 1135 1
18 244 1
41 86 1
101 3774 1
118 2520 1
11 162 1
7 1583 -1
18 258 1
81 350 1
0 155 1
84 3780 -1
3 839 1
124 298 1
13 544 1
172 601 1
538 1638 1
2 31 1
28 62 1
570 1102 1
1253 3742 1
79 3777 -1
5 3706 1
15 1211 1
278 1073 1
43 1089 1
179 185 1
113 1589 1
10 3741 1
108 710 1
94 3301 1
10 3624 1
129 578 1
14 113 1
425 932 1
244 396 1
48 122 1
56 2594 1
3 8 1
403 660 1
614 3742 1
24 1341 1
61 257 1
35 584 1
66 614 1
235 349 1
212 260 1
11 320 1
5 105 1
129 201 1
144 486 1
20 196 1
51 2895 1
283 2152 1
2 1183 1
95 171 1
139 1643 1
412 1154 1
77 202 1
42 173 1
436 668 1
585 591 1
162 164 1
11 1186 1
4 1175 -1
5 84 1
35 121 1
150 2970 1
17 3781 1
148 484 1
256 2915 1
223 2461 1
95 646 1
163 280 1
10 33 1
105 310 1
47 515 1
11 1359 1
0 330 1
88 1452 1
176 2934 1
176 801 1
219 698 1
0 2374 1
38 2015 1
114 207 1
1249 1664 1
400 714 1
124 483 1
6 7 1
167 3777 -1
464 651 1
2 814 1
23 109 1
430 1548 1
17 1563 1
5 809 1
7 491 -1
30 1133 1
404 530 1
104 649 1
123 814 1
125 373 -1
23 642 1
6 451 1
7 156 1
31 101 1
0 542 1
31 89 1
28 2384 1
0 3282 1
258 332 1
208 2465 1
54 2236 1
115 394 1
287 968 1
518 945 1
210 630 1
684 947 1
65 305 1
761 3625 1
862 2628 1
94 3726 -1
176 1164 1
370 416 1
3 1414 1
50 740 1
890 892 1
12 3046 1
1882 3685 1
68 1568 -1
19 89 1
280 490 -1
8 110 1
99 364 1
41 154 1
144 395 1
3661 3713 1
23 43 1
61 144 1
85 3371 1
116 1323 1
46 1033 1
158 3714 -1
746 3605 1
201 573 1
24 89 1
160 591 1
73 167 1
613 3754 -1
24 369 1
1251 2073 1
65 737 1
85 3564 1
518 744 1
121 468 1
53 382 1
435 936 1
56 2097 1
15 120 1
68 1758 1
8 1291 -1
54 1154 1
0 2995 1
371 3256 1
3 1690 1
0 154 1
407 3742 1
379 776 1
2 2335 1
322 1014 1
432 3253 1
42 3662 -1
6 23 1
193 2977 1
1460 2072 1
13 1287 1
2335 3571 -1
258 1148 1
6 30 1
34 374 1
374 1385 1
313 1124 1
427 3766 1
103 1350 1
573 856 1
7 1793 -1
22 536 1
66 84 1
32 76 1
189 196 1
0 2248 1
437 520 1
309 3613 1
402 2698 1
540 1261 1
152 863 1
262 405 1
23 1855 1
12 2266 1
18 84 1
6 178 1
86 1380 1
154 365 1
81 824 1
44 849 1
9 455 1
176 178 -1
30 565 1
284 3000 1
42 3684 -1
35 226 1
3 235 1
163 836 1
1 95 1
135 153 1
172 3336 1
191 765 1
9 3773 -1
456 2394 1
14 164 1
210 3770 -1
49 3774 1
0 2941 1
486 686 1
0 122 1
21 3661 -1
9 174 1
1 112 1
88 121 1
17 1169 1
41 100 1
23 124 1
13 1730 1
55 1538 1
137 1068 1
1 1631 1
3777 3778 1
78 1699 1
108 1098 1
3 352 1
575 3742 1
9 718 1
43 76 1
24 640 1
134 175 1
503 1108 1
5 114 1
58 493 1
77 954 1
116 1147 1
2 875 1
13 39 1
6 1286 1
32 94 1
27 407 1
473 3572 1
1 94 1
63 1199 1
156 2814 1
9 47 1
394 1165 1
825 1576 1
77 153 1
103 905 1
526 1583 1
63 2416 1
308 1179 1
105 259 1
0 1537 1
1 2403 1
339 920 1
715 3549 1
119 243 1
284 592 1
6 69 1
141 549 1
3 393 1
0 2847 1
187 3778 -1
7 522 1
444 3742 1
121 176 1
620 2842 1
59 2183 1
3 1321 1
31 189 1
14 47 1
131 250 1
12 203 1
136 184 1
41 639 1
47 139 1
51 2885 1
421 1919 1
93 375 1
12 1806 1
64 340 1
308 758 1
30 1145 1
85 1589 1
59 62 1
434 2260 1
244 307 1
16 2142 1
176 520 1
2 1128 1
58 3558 1
20 224 1
785 915 1
14 1589 1
374 603 1
41 172 1
60 3092 1
139 154 1
57 245 1
128 422 1
0 2128 1
327 407 1
6 3744 -1
3078 3773 1
725 789 1
4 197 1
74 132 1
92 228 1
404 443 1
1432 1920 1
1 61 1
137 3765 1
120 485 1
18 1191 1
67 3778 -1
53 465 1
11 81 1
10 1766 1
40 3731 1
14 3432 1
204 642 1
14 3546 -1
17 2085 1
9 1987 1
56 715 1
52 329 1
84 198 -1
35 248 1
35 556 1
315 2833 1
643 3206 1
213 295 1
165 994 1
489 1506 1
441 3689 -1
56 2655 1
63 952 1
166 273 1
176 486 1
143 1376 1
6 144 1
34 2222 1
83 499 1
78 271 1
278 697 1
7 3525 -1
54 198 1
124 196 1
31 365 1
47 89 1
13 2141 1
69 113 1
490 1320 1
0 1573 1
0 516 1
71 157 1
534 653 1
753 2331 1
541 3735 -1
406 3473 1
78 862 1
40 65 1
35 119 1
535 2613 1
21 3691 -1
217 802 1
1133 3578 -1
36 3742 -1
123 187 -1
41 61 1
373 558 1
67 3776 -1
3695 3743 1
0 95 1
12 880 1
54 1453 1
32 1190 1
13 141 1
435 3615 -1
80 466 1
378 465 1
4 42 1
24 25 1
461 600 1
0 522 1
57 84 1
32 1475 1
67 590 1
222 1412 1
107 482 1
288 1424 1
106 204 1
111 2275 1
85 125 1
226 3782 -1
225 729 1
1363 1556 1
503 607 1
57 3225 1
755 1182 1
188 1297 1
104 1196 1
2 2330 1
512 797 1
28 101 1
91 1575 1
320 3576 1
63 134 1
14 831 1
128 1078 1
31 256 1
37 699 1
40 2971 1
0 28 1
2201 2272 1
3661 3683 1
5 26 1
314 452 1
15 925 1
107 1743 1
292 438 1
221 390 1
140 2405 1
98 1258 1
271 3742 -1
761 1023 1
654 772 1
51 188 1
0 2281 1
4 1155 1
116 257 1
2 1173 1
614 2553 1
16 1303 1
0 3417 1
128 1092 1
84 2407 1
169 2223 1
31 176 1
429 830 1
17 1283 1
505 3553 1
113 374 1
3 1736 1
95 2410 1
5 19 1
57 3410 1
0 1748 1
400 1610 1
191 3730 -1
0 2101 1
129 948 1
229 278 1
193 797 -1
203 1149 1
4 12 1
56 360 1
11 246 1
3 500 1
343 1105 1
65 481 1
0 1841 1
185 497 1
54 874 1
35 84 1
255 478 1
14 232 1
993 1250 1
82 686 1
4 3235 1
360 370 1
393 3464 1
42 81 1
55 968 1
971 1193 1
21 155 1
1 241 1
1 411 1
72 115 1
80 228 1
17 1441 1
87 1404 1
596 2353 1
129 2265 1
43 1130 1
272 574 1
10 325 1
564 1087 1
244 3740 -1
351 1894 1
542 791 1
1490 1543 1
34 547 1
19 37 1
44 864 1
1019 1768 1
32 1313 1
116 1317 1
5 749 1
465 653 1
197 3705 -1
355 1414 1
181 366 1
1685 2661 1
1 2445 1
373 3568 1
352 442 1
1690 3687 -1
98 237 1
6 2868 1
21 1300 1
1690 3782 -1
11 881 1
622 3742 1
16 727 1
212 762 1
339 663 1
39 315 1
267 966 1
447 1264 1
14 1903 1
3 917 1
106 692 1
0 114 1
161 286 1
257 696 1
4 892 1
616 3133 1
31 3311 1
433 2420 1
113 191 1
6 116 1
2 1559 1
205 1061 1
23 548 1
243 294 1
191 604 1
224 1333 1
1 3730 -1
24 186 1
140 3391 1
12 3369 1
27 405 1
6 2360 1
374 602 1
11 96 1
35 135 1
14 34 1
7 62 1
108 499 1
4 773 1
1319 1759 1
2 2052 1
8 121 1
57 761 1
6 522 1
93 1073 1
29 115 1
561 779 1
1 435 1
189 266 1
1845 3703 1
47 3549 1
57 1899 1
8 1733 1
13 1138 1
189 888 1
476 1639 1
240 601 1
342 1250 1
75 1257 1
4 3709 -1
31 1063 1
10 3766 -1
186 849 1
29 3569 -1
382 579 1
33 428 1
14 3090 1
131 1131 1
12 3118 1
174 216 1
30 411 1
318 3589 1
49 98 1
79 3776 -1
0 303 1
102 127 1
303 345 1
790 3698 -1
92 3647 -1
9 76 1
6 3694 -1
32 3743 1
0 431 1
584 3782 -1
23 240 1
287 640 1
165 3782 1
48 482 1
14 3544 -1
234 1690 1
3 264 1
9 776 1
37 410 1
7 392 -1
82 3744 1
130 147 1
196 2368 1
154 366 1
316 359 1
12 14 1
177 773 1
40 125 1
23 707 1
16 175 1
5 43 1
4 18 1
89 505 1
25 2335 -1
2492 3550 1
508 2547 1
14 1073 1
10 152 1
52 416 1
192 3755 1
0 3141 1
30 107 1
19 154 1
9 477 1
8 1286 1
7 450 1
3 916 1
41 77 1
78 936 1
524 818 1
6 1767 1
121 227 1
690 797 1
71 567 1
454 3464 1
223 534 1
39 254 1
27 274 1
10 275 1
797 2883 1
10 144 1
687 1025 1
12 2278 1
3697 3742 1
28 508 1
6 123 1
119 1070 1
8 1477 1
6 1781 1
217 251 1
800 953 1
139 405 1
1810 3773 1
52 202 1
43 475 1
23 3690 1
68 2860 1
86 3593 -1
116 305 1
167 3780 -1
25 493 1
33 119 1
63 280 1
11 3622 1
10 244 1
14 2427 1
97 278 1
149 506 1
225 864 1
15 1092 1
421 534 1
191 831 1
12 3727 -1
2 99 1
153 424 1
3464 3772 -1
30 136 1
74 94 1
66 1602 1
35 290 1
43 44 1
16 520 1
430 492 -1
6 3718 -1
102 155 1
13 1136 1
118 292 1
469 2545 1
0 2618 1
36 989 1
37 3570 1
16 155 1
0 150 1
2 135 1
18 109 1
134 196 1
2 3048 1
17 735 1
57 92 1
128 1091 1
68 2195 1
79 554 1
525 3215 1
682 3743 1
57 94 1
535 537 1
11 3703 1
2 1346 1
6 153 1
34 49 1
57 87 1
8 315 1
7 117 1
39 1278 1
37 2840 1
521 1155 1
176 1170 1
35 3367 1
142 2904 1
187 942 1
2 87 1
68 116 1
607 920 1
1122 2094 1
436 719 1
119 309 1
9 3730 1
160 1764 1
25 210 1
8 466 1
147 151 1
13 663 1
136 843 1
60 2365 1
21 3743 -1
39 267 1
102 3464 1
100 2579 1
375 823 1
64 1257 1
43 1728 1
14 97 1
18 190 1
15 1406 1
390 451 1
1048 3621 1
110 462 1
186 333 1
12 964 1
8 2776 1
441 3580 -1
143 494 1
795 3781 1
14 2292 1
229 823 1
43 100 1
26 117 1
142 451 1
8 107 1
140 1369 1
666 2648 1
23 72 1
31 236 1
14 163 1
37 3309 1
157 694 1
15 1909 1
9 1561 1
275 2196 1
249 361 1
0 3100 1
2217 3778 1
303 388 1
585 2752 1
150 193 1
148 236 1
3 3730 1
180 403 1
10 2167 1
15 448 1
94 187 1
105 166 1
54 282 1
164 187 1
11 394 1
24 1775 1
51 2892 1
41 89 1
9 53 1
10 776 1
108 222 1
94 241 1
156 3778 -1
19 1770 1
0 2794 1
149 659 1
39 120 1
297 1122 1
504 3781 1
4 1858 1
15 20 1
7 3637 -1
0 3338 1
151 271 1
2 89 1
103 280 1
39 734 1
655 812 1
15 297 1
45 1171 1
36 609 1
105 327 1
90 768 1
3696 3781 -1
38 514 1
84 163 1
84 245 1
7 601 -1
32 1282 1
254 408 1
76 852 1
17 944 1
8 273 1
409 741 1
33 307 1
1 3660 -1
716 1412 1
85 905 1
238 727 1
115 258 1
94 2368 -1
747 3066 1
28 372 1
17 273 1
61 885 1
29 95 1
12 2282 1
129 3181 1
105 153 1
123 884 1
56 1441 1
114 1874 1
51 99 1
94 1828 1
77 1757 1
7 119 1
302 783 1
114 1573 1
387 827 1
208 800 1
173 579 1
60 3084 1
47 567 1
101 1645 1
271 543 1
14 36 1
0 74 1
252 390 1
18 91 1
199 3513 1
33 290 1
118 352 1
4 390 1
165 845 1
92 114 1
17 1524 1
2 102 1
285 3769 -1
287 2368 1
286 423 1
15 1639 1
47 407 1
10 317 1
27 79 1
200 297 1
126 3132 1
95 2335 1
1105 1106 1
103 1396 1
245 2335 1
20 184 1
4 3657 -1
62 3782 -1
34 283 1
329 3782 -1
3572 3749 -1
92 196 1
783 1010 1
32 702 1
816 2338 1
144 2455 1
41 692 1
145 1148 1
415 489 1
15 2929 1
430 860 1
169 2178 1
188 305 1
57 290 1
1 1602 1
25 2249 1
175 739 1
110 3776 -1
490 683 1
7 65 1
183 1157 1
3580 3689 -1
68 145 1
497 2335 1
1139 1307 1
62 175 1
7 1855 -1
287 1690 1
15 849 1
49 100 1
0 1719 1
313 450 1
8 66 1
128 657 1
308 636 1
20 69 1
1019 3761 1
191 2414 1
27 1254 1
908 1959 1
447 1006 1
38 1956 1
613 646 1
46 94 1
56 74 1
515 3464 -1
490 3782 -1
52 3777 1
1655 2088 1
707 3674 -1
49 99 1
3506 3742 -1
89 153 1
843 2710 1
452 949 1
1317 2176 1
0 213 1
16 2124 1
310 1088 1
12 3036 1
674 3742 1
13 2795 1
707 3672 -1
125 511 1
42 1733 1
151 1690 1
255 484 1
392 2948 1
31 392 1
65 2855 1
28 227 1
111 3030 1
8 1469 1
148 418 1
23 3740 1
629 792 1
46 459 1
547 3781 1
64 3748 -1
18 240 1
1 12 1
148 292 1
29 31 1
497 707 -1
50 175 -1
83 147 1
498 604 1
0 1493 1
108 865 1
52 57 1
83 380 1
69 276 1
814 1190 1
174 292 1
664 2099 1
6 1063 1
3513 3738 1
472 985 1
7 335 1
1 4 1
287 2346 1
136 263 1
138 2508 1
55 94 1
83 298 1
176 1713 1
99 2489 1
165 2245 1
35 758 1
97 1589 1
13 76 1
0 3316 1
901 2335 1
101 724 1
10 1511 1
37 617 1
2311 2335 1
328 688 1
3629 3630 1
165 2243 1
104 3763 -1
6 64 1
338 1625 1
22 235 1
176 3766 -1
4 1371 1
37 741 1
60 1181 1
21 107 1
294 936 1
100 132 1
340 1937 1
23 3743 -1
357 2335 1
238 1463 1
125 1699 1
331 950 1
12 21 1
2100 3630 -1
175 2230 1
20 156 1
19 36 1
105 714 1
176 394 1
5 91 1
3464 3768 -1
3 25 1
1 1400 1
45 1530 1
7 294 1
125 154 1
113 164 -1
124 703 1
268 3593 -1
10 1486 1
314 644 1
13 1024 1
20 2758 1
22 606 1
113 1878 1
5 11 1
3 422 1
1011 2097 1
1103 2512 1
181 506 1
174 299 1
5 3221 1
46 486 1
57 3709 -1
54 165 1
431 895 1
18 87 1
29 206 1
0 116 1
16 1304 1
1435 3742 1
60 1051 1
34 823 1
54 490 1
68 2849 1
11 99 1
823 3322 1
120 2065 1
322 719 1
327 3464 -1
135 152 1
274 1687 1
0 2116 1
12 1827 1
198 936 1
67 177 1
251 1941 1
12 3074 1
71 287 1
480 1272 1
176 2957 1
59 255 1
68 1143 1
80 1858 1
4 527 1
11 1330 1
91 1424 1
33 135 1
176 346 1
121 758 1
238 1109 1
676 928 1
8 3780 -1
412 1371 1
27 1448 1
124 432 1
48 92 1
119 162 1
39 94 1
498 905 1
0 2724 1
216 1650 1
443 3767 1
94 525 1
29 1335 1
2 319 1
0 1839 1
7 3458 -1
55 102 1
190 3253 1
